County,COVID cases Aug_4,COVID deaths Aug_4,
Anderson,2329,9,
Andrews,268,6,
Angelina,1745,36,
Aransas,158,12,
Archer,20,0,
Armstrong,9,0,
Atascosa,413,15,
Austin,216,3,
Bailey,159,4,
Bandera,83,3,
Bastrop,1302,18,
Baylor,7,0,
Bee,669,9,
Bell,3598,32,
Bexar,34156,622,
Blanco,98,4,
Borden,0,0,
Bosque,135,2,
Bowie,706,31,
Brazoria,6732,73,
Brazos,3936,42,
Brewster,186,2,
Briscoe,11,1,
Brooks,91,1,
Brown,356,14,
Burleson,232,5,
Burnet,544,7,
Caldwell,1080,23,
Calhoun,493,3,
Callahan,43,3,
Cameron,14781,368,
Camp,218,4,
Carson,14,0,
Cass,158,7,
Castro,182,3,
Chambers,912,2,
Cherokee,807,4,
Childress,36,0,
Clay,35,1,
Cochran,27,0,
Coke,40,1,
Coleman,13,0,
Collin,6421,72,
Collingsworth,7,0,
Colorado,257,2,
Comal,1720,63,
Comanche,118,3,
Concho,26,0,
Cooke,202,3,
Coryell,620,5,
Cottle,14,2,
Crane,75,2,
Crockett,156,3,
Crosby,54,1,
Culberson,16,2,
Dallam,180,5,
Dallas,51490,650,
Dawson,137,4,
Deaf Smith,612,15,
Delta,16,17,
Denton,7032,0,
DeWitt,626,75,
Dickens,4,1,
Dimmit,131,1,
Donley,44,0,
Duval,152,3,
Eastland,58,1,
Ector,2360,36,
Edwards,25,0,
El Paso,2545,251,
Ellis,15142,34,
Erath,476,5,
Falls,112,2,
Fannin,219,8,
Fayette,301,13,
Fisher,26,1,
Floyd,85,5,
Foard,2,0,
Fort Bend,7287,146,
Franklin,87,1,
Freestone,139,0,
Frio,476,5,
Gaines,136,0,
Galveston,8999,103,
Garza,97,2,
Gillespie,171,4,
Glasscock,6,0,
Goliad,77,3,
Gonzales,631,7,
Gray,196,2,
Grayson,1035,11,
Gregg,1322,21,
Grimes,854,20,
Guadalupe,1610,44,
Hale,1230,22,
Hall,9,1,
Hamilton,55,2,
Hansford,58,2,
Hardeman,16,0,
Hardin,859,11,
Harris,78105,1318,
Harrison,630,22,
Hartley,82,0,
Haskell,39,0,
Hays,4893,33,
Hemphill,42,0,
Henderson,604,9,
Hidalgo,17751,457,
Hill,311,3,
Hockley,189,4,
Hood,480,9,
Hopkins,180,1,
Houston,304,6,
Howard,161,3,
Hudspeth,22,2,
Hunt,1105,20,
Hutchinson,118,2,
Irion,9,0,
Jack,43,0,
Jackson,344,5,
Jasper,301,5,
Jeff Davis,8,0,
Jefferson,5609,73,
Jim Hogg,54,1,
Jim Wells,637,8,
Johnson,1619,25,
Jones,628,0,
Karnes,344,4,
Kaufman,1900,22,
Kendall,148,2,
Kenedy,6,1,
Kent,3,0,
Kerr,372,6,
Kimble,13,0,
King,0,0,
Kinney,17,0,
Kleberg,375,5,
Knox,48,0,
La Salle,640,1,
Lamar,207,16,
Lamb,83,7,
Lampasas,357,1,
Lavaca,613,14,
Lee,154,8,
Leon,138,1,
Liberty,855,25,
Limestone,201,3,
Lipscomb,15,0,
Live Oak,207,1,
Llano,86,1,
Loving,0,0,
Lubbock,5652,65,
Lynn,66,4,
Madison,43,2,
Marion,4571,7,
Martin,8,3,
Mason,645,0,
Matagorda,127,23,
Maverick,46,29,
McCulloch,42,1,
McLennan,688,39,
McMullen,1852,0,
Medina,615,24,
Menard,17,0,
Midland,2362,26,
Milam,327,3,
Mills,16,0,
Mitchell,56,0,
Montague,60,1,
Montgomery,6291,73,
Moore,1023,12,
Morris,97,1,
Motley,4,0,
Nacogdoches,1054,36,
Navarro,794,8,
Newton,89,4,
Nolan,131,3,
Nueces,10248,102,
Ochiltree,86,2,
Oldham,14,1,
Orange,1250,17,
Palo Pinto,224,6,
Panola,271,17,
Parker,1123,12,
Parmer,315,7,
Pecos,222,1,
Polk,686,9,
Potter,3546,39,
Presidio,44,0,
Rains,45,1,
Randall,1623,17,
Reagan,60,3,
Real,77,0,
Red River,134,11,
Reeves,141,3,
Refugio,214,0,
Roberts,7,0,
Robertson,216,1,
Rockwall,737,11,
Runnels,112,1,
Rusk,338,2,
Sabine,49,6,
San Augustine,156,11,
San Jacinto,150,8,
San Patricio,834,16,
San Saba,22,0,
Schleicher,35,1,
Scurry,454,1,
Shackelford,17,0,
Shelby,383,16,
Sherman,37,0,
Smith,2369,17,
Somervell,61,0,
Starr,1981,51,
Stephens,30,2,
Sterling,0,0,
Stonewall,4,0,
Sutton,60,1,
Swisher,76,2,
Tarrant,29357,386,
Taylor,1092,19,
Terrell,2,0,
Terry,121,2,
Throckmorton,4,0,
Titus,1171,14,
Tom Green,1637,20,
Travis,21549,236,
Trinity,152,2,
Tyler,115,2,
Upshur,194,2,
Upton,16,1,
Uvalde,501,7,
Val Verde,1332,18,
Van Zandt,351,3,
Victoria,3331,29,
Walker,2842,38,
Waller,413,3,
Ward,84,1,
Washington,498,38,
Webb,6629,77,
Wharton,641,21,
Wheeler,32,0,
Wichita,932,10,
Wilbarger,52,1,
Willacy,614,20,
Williamson,5832,80,
Wilson,422,16,
Winkler,71,1,
Wise,329,5,
Wood,302,5,
Yoakum,89,1,
Young,145,4,
Zapata,160,2,
Zavala,183,5,